Date,Daily_Cases
8/22/2021,24818
8/22/2022,6600
8/23/2020,4077
8/23/2021,19200
8/23/2022,9716
8/24/2020,3779
8/24/2021,38217
8/24/2022,10766
8/25/2020,4927
8/25/2021,37347
8/25/2022,10522
8/26/2020,4595
8/26/2021,33797
8/26/2022,9099
8/27/2020,5452
8/27/2021,25235
8/27/2022,8338
8/28/2020,6090
8/28/2021,20101
8/28/2022,6456
8/29/2020,6614
8/29/2021,14855
8/29/2022,5741
8/3/2020,3213
8/3/2021,67027
8/3/2022,12334
8/30/2020,5736
8/30/2021,10873
8/30/2022,10140
8/31/2020,5507
8/31/2021,21070
8/31/2022,9126
8/4/2020,3827
8/4/2021,71233
8/4/2022,13054
8/5/2020,3642
8/5/2021,72260
8/5/2022,11859
8/6/2020,3748
8/6/2021,79315
8/6/2022,10910
8/7/2020,4930
8/7/2021,63769
8/7/2022,8558
8/8/2020,4530
8/8/2021,53399
8/8/2022,8849
8/9/2020,3744
8/9/2021,41786
8/9/2022,12552
9/1/2020,5617
9/1/2021,20676
9/1/2022,8188
9/10/2020,7716
9/10/2021,10751
9/10/2022,5218
9/11/2020,7496
9/11/2021,10002
9/11/2022,3878
9/12/2020,7620
9/12/2021,7558
9/12/2022,1995
9/13/2020,7270
9/13/2021,5155
9/13/2022,3087
9/14/2020,6279
9/14/2021,8255
9/14/2022,4699
9/15/2020,7136
9/15/2021,7897
9/15/2022,5293
9/16/2020,7955
9/16/2021,6289
9/16/2022,2358
9/17/2020,7328
9/17/2021,7669
9/18/2020,7951
9/18/2021,6770
9/19/2020,8333
9/19/2021,4467
9/2/2020,6109
9/2/2021,17909
9/2/2022,7232
9/20/2020,8018
9/20/2021,3865
9/21/2020,8136
9/21/2021,6528
9/22/2020,8200
9/22/2021,5443
9/23/2020,8921
9/23/2021,5760
9/24/2020,9233
9/24/2021,5112
9/25/2020,9370
9/25/2021,4275
9/26/2020,8978
9/26/2021,3519
9/27/2020,7807
9/27/2021,2784
9/28/2020,7092
9/28/2021,4113
9/29/2020,8097
9/29/2021,3906
9/3/2020,7222
9/3/2021,15591
9/3/2022,6519
9/30/2020,8905
9/30/2021,3384
9/4/2020,6549
9/4/2021,13451
9/4/2022,5527
9/5/2020,6258
9/5/2021,10808
9/5/2022,4680
9/6/2020,6834
9/6/2021,8826
9/6/2022,7214
9/7/2020,5747
9/7/2021,14401
9/7/2022,7026
9/8/2020,6134
9/8/2021,13461
9/8/2022,6276
9/9/2020,6665
9/9/2021,11980
9/9/2022,5608
